rank,name,bundesland,bezirk,population_2024,website
1,Graz,Steiermark,Graz (Stadt),302749,http://www.graz.gv.at
2,Linz,Oberösterreich,Linz (Stadt),211944,http://www.linz.gv.at
3,Innsbruck,Tirol,Innsbruck (Stadt),132188,http://www.innsbruck.gv.at
4,Klagenfurt am Wörthersee,Kärnten,Klagenfurt (Stadt),104866,https://www.klagenfurt.at
5,Villach,Kärnten,Villach (Stadt),65600,http://www.villach.at
6,Wels,Oberösterreich,Wels (Stadt),65287,http://www.wels.gv.at
7,St. Pölten,Niederösterreich,St. Pölten (Stadt),58856,http://www.st-poelten.gv.at
8,Dornbirn,Vorarlberg,Dornbirn,51876,https://www.dornbirn.at
9,Wiener Neustadt,Niederösterreich,Wiener Neustadt (Stadt),48517,http://www.wiener-neustadt.gv.at
10,Feldkirch,Vorarlberg,Feldkirch,36384,http://www.feldkirch.gv.at
11,Bregenz,Vorarlberg,Bregenz,29643,http://www.bregenz.gv.at
12,Klosterneuburg,Niederösterreich,Tulln,28115,http://www.klosterneuburg.gv.at
13,Baden,Niederösterreich,Baden,25923,https://www.baden.at
14,Krems an der Donau,Niederösterreich,Krems (Stadt),25363,http://www.krems.gv.at
15,Traun,Oberösterreich,Linz-Land,25171,http://www.traun.gv.at
16,Wolfsberg,Kärnten,Wolfsberg,25084,https://www.wolfsberg.at
17,Lustenau,Vorarlberg,Dornbirn,24223,http://www.lustenau.gv.at
18,Amstetten,Niederösterreich,Amstetten,23899,http://www.amstetten.noe.gv.at
19,Kapfenberg,Steiermark,Bruck-Mürzzuschlag,22080,http://www.kapfenberg.gv.at
20,Kufstein,Tirol,Kufstein,20169,http://www.kufstein.gv.at
21,Ansfelden,Oberösterreich,Linz-Land,18251,http://www.ansfelden.co.at
22,Braunau am Inn,Oberösterreich,Braunau/Inn,17628,http://www.braunau.at
23,Hohenems,Vorarlberg,Dornbirn,17319,https://www.hohenems.at
24,Stockerau,Niederösterreich,Korneuburg,16999,https://www.stockerau.at
25,Tulln an der Donau,Niederösterreich,Tulln,16949,http://www.tulln.gv.at
26,Eisenstadt,Burgenland,Eisenstadt (Stadt),16037,http://www.eisenstadt.gv.at
27,Bruck an der Mur,Steiermark,Bruck-Mürzzuschlag,15750,https://www.bruck.at
